incident_id,timestamp,cpu_usage,memory_usage,response_time,error_count,network_latency,error_message,category,severity,resolution
INC00025,2026-06-19 22:34:34.846156,62.91,48.91,348.2,0,46.74,Server load average unusually high during off-peak hours,Server,Medium,Found a misconfigured cron job running every minute instead of hourly.
INC00759,2026-06-20 00:05:00.928975,45.86,38.88,418.0,2,75.16,Authentication API rate limit exceeded during peak traffic,API,Low,Raised rate limit thresholds and enabled request queueing.
INC00417,2026-06-20 02:55:14.895181,45.01,49.01,448.93,0,23.99,High replication lag on read-replica database,Database,Low,Throttled write traffic temporarily and resized the replica instance.
INC00882,2026-06-20 05:30:12.938223,48.47,46.85,273.05,2,72.52,"Background job queue backed up, jobs not processing",Application,Low,Restarted the worker service and scaled up the number of workers.
INC00377,2026-06-20 07:58:04.891535,54.65,59.16,463.6,1,34.47,Payment API database connection timeout,Database,Medium,Increased connection pool size and added retry logic with exponential backoff.
INC00475,2026-06-20 10:46:10.902008,81.75,79.66,2680.01,22,361.74,Payment API database connection timeout,Database,Low,Increased connection pool size and added retry logic with exponential backoff.
INC00396,2026-06-20 11:48:34.893383,51.11,69.24,316.33,0,43.14,"Web server unresponsive, health checks failing",Server,High,Restarted the web server process and increased worker thread count.
INC00163,2026-06-20 13:54:22.860092,38.13,38.6,501.29,2,95.64,Third-party payment API returning inconsistent responses,API,Low,Added circuit breaker and fallback logic for the third-party integration.
INC00898,2026-06-20 17:34:31.939154,19.05,42.21,209.55,2,150.0,Network latency spike affecting checkout service,Network,Medium,Identified congested switch port and load balanced traffic across two links.
INC00067,2026-06-20 17:47:30.849453,39.88,34.03,405.31,1,94.5,REST API response time degraded after latest deployment,API,Low,Rolled back the deployment that introduced an inefficient serialization step.
INC00491,2026-06-20 17:54:52.903484,30.84,39.68,295.3,1,68.64,Users reporting slow page load times on the dashboard,Application,Low,Optimized a slow database query powering the dashboard widgets.
INC00480,2026-06-20 23:30:32.902516,30.5,33.78,479.72,2,36.39,Database CPU usage spiked to 98 percent during nightly job,Database,Medium,Rescheduled the nightly job and added an index to speed up the slow query.
INC00907,2026-06-21 01:36:08.939675,56.68,67.45,285.06,0,49.85,"Web server unresponsive, health checks failing",Server,Low,Restarted the web server process and increased worker thread count.
INC00652,2026-06-21 04:02:06.920228,46.48,34.19,500.14,3,63.73,Database connection timeout while executing query on orders table,Database,Medium,Restarted the database connection pool and increased max connection timeout.
INC00456,2026-06-21 07:37:27.898201,29.14,49.79,319.58,3,84.25,Third-party payment API returning inconsistent responses,API,High,Added circuit breaker and fallback logic for the third-party integration.
INC00479,2026-06-21 08:33:06.902428,21.54,38.7,195.24,1,53.33,Users reporting slow page load times on the dashboard,Application,Medium,Optimized a slow database query powering the dashboard widgets.
INC00167,2026-06-21 15:33:54.860440,41.56,48.81,179.71,0,34.31,Application server crashed with out of memory error,Server,Low,Increased server memory allocation and tuned garbage collection settings.
INC00839,2026-06-21 18:37:10.935369,84.67,85.34,2942.05,5,100.0,Search API timing out for large result sets,API,High,Added pagination and result caching to reduce query load.
INC00818,2026-06-21 19:02:24.932469,52.76,66.6,255.59,2,27.25,"Web server unresponsive, health checks failing",Server,High,Restarted the web server process and increased worker thread count.
INC00170,2026-06-21 20:29:36.860703,89.94,90.02,3227.65,12,196.9,"Web server unresponsive, health checks failing",Server,Medium,Restarted the web server process and increased worker thread count.
INC00093,2026-06-22 06:12:20.853813,64.65,43.35,501.02,2,32.75,Payment API database connection timeout,Database,Low,Increased connection pool size and added retry logic with exponential backoff.
INC00786,2026-06-22 07:51:45.930504,78.81,91.72,2331.24,10,297.23,Users reporting slow page load times on the dashboard,Application,Medium,Optimized a slow database query powering the dashboard widgets.
INC00231,2026-06-22 13:34:33.867678,78.07,72.93,1680.52,7,414.2,Server CPU usage sustained above 95 percent for 20 minutes,Server,Medium,Identified a runaway background process and restarted the service.
INC00313,2026-06-22 18:27:55.882350,39.79,40.53,130.3,3,69.74,Users reporting slow page load times on the dashboard,Application,Medium,Optimized a slow database query powering the dashboard widgets.
INC00150,2026-06-22 19:19:49.858950,27.74,39.87,197.12,0,150.0,Network latency spike affecting checkout service,Network,Medium,Identified congested switch port and load balanced traffic across two links.
INC00586,2026-06-22 19:48:17.912336,57.52,56.84,265.03,3,54.71,"Server memory usage steadily increasing, suspected memory leak",Server,Low,Deployed patched build fixing a memory leak in the caching layer.
INC00121,2026-06-22 20:28:49.856353,47.57,38.78,360.87,3,63.27,Application error rate spiked after feature flag rollout,Application,Low,Rolled back the feature flag pending further testing.
INC00594,2026-06-22 22:59:47.913195,32.41,41.53,210.08,0,150.0,High network latency between data center regions,Network,High,Rerouted traffic through backup link while ISP resolved a fiber cut.
INC00984,2026-06-22 23:10:24.944921,42.11,53.63,373.71,4,100.85,Authentication API rate limit exceeded during peak traffic,API,Medium,Raised rate limit thresholds and enabled request queueing.
INC00080,2026-06-23 01:38:20.852621,40.31,25.87,600.0,1,59.76,Deadlock detected on inventory table during batch update,Database,Medium,Rewrote the batch update to process smaller chunks to avoid lock contention.
INC00943,2026-06-23 07:23:19.941753,38.92,48.93,578.67,2,36.63,Database connection timeout while executing query on orders table,Database,Low,Restarted the database connection pool and increased max connection timeout.
INC00097,2026-06-23 10:36:16.854187,43.72,33.44,437.55,2,19.87,Checkout service unable to connect to database,Database,Low,Identified exhausted connection pool; scaled DB connections and restarted service.
INC00814,2026-06-23 11:11:43.932252,48.67,59.89,270.81,0,56.08,Server load average unusually high during off-peak hours,Server,Medium,Found a misconfigured cron job running every minute instead of hourly.
INC00188,2026-06-23 11:31:31.862295,39.98,32.79,599.58,2,23.72,Deadlock detected on inventory table during batch update,Database,Low,Rewrote the batch update to process smaller chunks to avoid lock contention.
INC00816,2026-06-23 14:15:50.932358,41.13,44.37,159.48,1,48.89,Application session handling causing users to be logged out randomly,Application,Medium,Fixed a session token expiry bug introduced in the last release.
